BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2019;090000175;090781774;1;0;0;2944;78;2536;3407;78;1;;;;2780;78;191;2514;78;358;14;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;090000183;090781816;1;0;0;158;0;152;186;0;0;090000175;;;145;0;0;145;0;25;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;100000090;100000017;1;1;1;17653;0;16515;11634;0;1;;;;7925;0;418;7156;0;916;0;9;0;2;1;;438;8586;122;0;0;448;0;0;2;6;0;3;0;3;1;4;0;3;1.17;2.8;9.16;0;4.38;17;26;;;566;8277;0;0;0;0;0;0;6067;0;0;0;0;1;0;8;0;3.77;20;14;0;0;4;5;7;0;1;16;18.36;11.08;0;0.27;5.46
CANCERO;2019;100000124;100009075;0;0;0;324;0;54;1350;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;100010818;100010792;1;0;1;1564;0;1155;2555;0;1;;;;1128;0;26;1081;0;173;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;27;1042;0;0;0;0;0;0;110;0;0;0;1;1;;;1;1;3;;;;2;1;;;;;3.8;;;;2
CANCERO;2019;110000023;110780061;1;1;1;19203;0;18788;4158;0;1;;;;4971;0;53;4795;0;544;0;12;0;2;0;;874;12924;87;0;0;602;30;;1;5;1;1;0;4;3;4;;2;2.74;2.6;8.11;1;2.4;10;16;;;458;5301;0;0;0;0;0;0;2651;0;0;0;;;3;1;2.3;0.13;11;8;;;1;5;4;1;1;6;14.64;11.14;0.5;0.2;4.14
CANCERO;2019;110000056;110780137;1;0;0;613;0;479;1583;0;1;;;;483;0;0;465;0;80;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;110780228;110000114;1;0;1;7724;0;6983;6345;0;1;;;;6484;0;125;6748;0;560;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6099;0;0;0;0;0;0;0;0;0;0;1;;;;1;;6;6;;;;;;1;1;;5.96;5.97;0.1;0.1;
CANCERO;2019;110780483;110000155;1;0;1;1975;0;1509;2551;0;1;;;;1295;0;6;1269;0;188;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;1384;0;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;2;;;;;1.43;;;;
CANCERO;2019;120000039;120780044;1;1;1;23061;0;22381;4022;0;1;;;;6867;0;80;6562;0;736;0;2;0;2;;;652;15113;126;15;0;721;1;3;3;7;0;2;0;0;1;6;0;4;2.77;3.77;10.01;0;3.38;12;21;;;913;7085;0;0;0;0;0;0;4055;0;0;0;4;0;1;0;4.8;0;8;1;0;0;1;24;14;2;1;4;19.19;7.61;0.88;0.23;2.51
