"","ABBREVIATION","NICKNAME","SEASON","Points","Tirs Reussis","Tirs Tentees","% Tirs","3 Points Reussis","3 Points Tentes","% 3 Poins","Lancer Franc Reussi","Lancer Franc Tente","% Lancer Franc","Passes Decisives","Rebond Offensif","Rebond Defensif","Rebond","Interception","Contre","Ballons Perdus"
"491","TOR","Raptors",2013,100.876404494382,36.1910112359551,81.314606741573,44.5073925659804,8.52808988764045,23.1910112359551,36.7732558139535,19.9662921348315,25.3707865168539,78.6979627989371,20.9101123595506,11.3033707865169,31.1573033707865,42.4606741573034,6.92134831460674,4.08988764044944,13.4494382022472
"492","TOR","Raptors",2014,103.204301075269,37.6344086021505,83.010752688172,45.3367875647668,8.67741935483871,24.8494623655914,34.9199480744267,19.258064516129,24.752688172043,77.8019113814075,20.505376344086,10.4838709677419,30.7849462365591,41.2688172043011,7.61290322580645,4.16129032258065,12.4516129032258
"493","TOR","Raptors",2015,100.48623853211,36,81.2293577981651,44.3189518861532,8.19266055045872,23.1100917431193,35.4505756252481,20.2935779816514,26.4311926605505,76.7788962165915,18.0642201834862,10.3577981651376,32.5229357798165,42.8807339449541,7.77981651376147,5.03669724770642,12.256880733945
"494","TOR","Raptors",2016,105.448979591837,38.6326530612245,83.8163265306122,46.0920379839299,8.63265306122449,24.0714285714286,35.862653666808,19.5510204081633,24.5714285714286,79.5681063122924,18.5102040816327,10.2551020408163,32.5510204081633,42.8061224489796,8.38775510204082,4.83673469387755,12.0408163265306
"495","TOR","Raptors",2017,111.072164948454,40.8247422680412,86.5876288659794,47.148470055959,11.6907216494845,32.7835051546392,35.6603773584906,17.7319587628866,22.3505154639175,79.3357933579336,24.0103092783505,9.64948453608247,33.8556701030928,43.5051546391753,7.56701030927835,6.05154639175258,13.1443298969072
"496","TOR","Raptors",2018,112.781818181818,41.1363636363636,88.2272727272727,46.6254507985574,12.2545454545455,33.9,36.1491016358273,18.2545454545455,22.5727272727273,80.8699154248892,24.5818181818182,9.31818181818182,35.2545454545455,44.5727272727273,8.30909090909091,5.18181818181818,13.0727272727273
"497","TOR","Raptors",2019,112.111111111111,39.8666666666667,87.7666666666667,45.4234713254842,13.9444444444444,37.4666666666667,37.2182680901542,18.4333333333333,23.3555555555556,78.9248334919125,25.2222222222222,9.35555555555556,36.2555555555556,45.6111111111111,8.68888888888889,5.01111111111111,14.3555555555556
"498","TOR","Raptors",2020,114.826666666667,40.9466666666667,91.96,44.5266057706249,15.1733333333333,41.3466666666667,36.697839406643,17.76,21.9466666666667,80.9234507897934,25.1733333333333,9.68,33.4666666666667,43.1466666666667,9.17333333333333,5.6,13.2266666666667
"499","TOR","Raptors",2021,109.204301075269,40.5806451612903,91.1397849462366,44.5257196790939,11.9354838709677,34.3978494623656,34.6983432322601,16.1075268817204,21.2043010752688,75.9634888438134,22.1505376344086,13.0967741935484,31.8064516129032,44.9032258064516,9.01075268817204,4.67741935483871,11.7634408602151
"500","TOR","Raptors",2022,111.648648648649,40.7027027027027,91.027027027027,44.7149643705463,10.027027027027,32.1891891891892,31.1502938706969,20.2162162162162,26.0810810810811,77.5129533678757,22.1621621621622,12.8648648648649,31.2162162162162,44.0810810810811,9.48648648648649,5.24324324324324,12.2972972972973
"501","UTA","Jazz",2003,88.6341463414634,32.7926829268293,75.2073170731707,43.6030484838657,3.07317073170732,9.58536585365854,32.0610687022901,19.9756097560976,26.7560975609756,74.6581586144029,20.3536585365854,13.4390243902439,27.6707317073171,41.109756097561,7.08536585365854,6.02439024390244,15.3048780487805
"502","UTA","Jazz",2004,92.9634146341463,34.4878048780488,76.8048780487805,44.9031438551921,3.04878048780488,9.29268292682927,32.8083989501312,20.9390243902439,27.6829268292683,75.6387665198238,22.2439024390244,12.7317073170732,27.3048780487805,40.0365853658537,6.58536585365854,4.5609756097561,14.9390243902439
"503","UTA","Jazz",2005,92.3536585365854,33.4634146341463,75.6951219512195,44.2081520863541,3.79268292682927,11.280487804878,33.6216216216216,21.6341463414634,30.0731707317073,71.9383617193836,21.609756097561,13.0609756097561,29.0243902439024,42.0853658536585,6.39024390243902,6,14.7682926829268
"504","UTA","Jazz",2006,100.868686868687,37.2525252525253,79,47.1550952563611,4.31313131313131,12.8282828282828,33.6220472440945,22.0505050505051,29.6262626262626,74.4289123764064,24.2525252525253,12.6363636363636,30.1616161616162,42.7979797979798,7.09090909090909,4.24242424242424,15.1212121212121
"505","UTA","Jazz",2007,105.287234042553,39.531914893617,80.5744680851064,49.0625825191444,5.07446808510638,13.7765957446809,36.8339768339768,21.1489361702128,27.8936170212766,75.8199847444699,25.7659574468085,11.8723404255319,29.4468085106383,41.3191489361702,8.45744680851064,4.51063829787234,14.031914893617
"506","UTA","Jazz",2008,103.206896551724,38.1379310344828,80.7816091954023,47.2111553784861,4.79310344827586,13.735632183908,34.8953974895397,22.1379310344828,28.7701149425287,76.9476628046344,24.7241379310345,11.5632183908046,29.5402298850575,41.1034482758621,8.82758620689655,4.49425287356322,14.2413793103448
"507","UTA","Jazz",2009,104.54347826087,39.2173913043478,80.1086956521739,48.955223880597,5.47826086956522,15.0108695652174,36.4952932657495,20.6304347826087,27.9130434782609,73.9096573208723,26.3586956521739,10.6630434782609,31.25,41.9130434782609,7.97826086956522,4.82608695652174,14.3913043478261
"508","UTA","Jazz",2010,99.4268292682927,37.3658536585366,80.3658536585366,46.49468892261,5.30487804878049,15.3170731707317,34.6337579617834,19.390243902439,25.1341463414634,77.1470160116448,23.4268292682927,10.9512195121951,28.5121951219512,39.4634146341463,7.67073170731707,5.90243902439024,13.5609756097561
"509","UTA","Jazz",2011,98.8857142857143,37.9142857142857,83.9142857142857,45.1821586653047,4.02857142857143,12.7142857142857,31.685393258427,19.0285714285714,25.3285714285714,75.1269035532995,21.5142857142857,13.2142857142857,31.2142857142857,44.4285714285714,8.15714285714286,5.88571428571429,13.5428571428571
"510","UTA","Jazz",2012,98.0243902439024,37.1463414634146,81.8292682926829,45.3949329359165,6.18292682926829,16.890243902439,36.6064981949458,17.5487804878049,22.9634146341463,76.4206054168879,22.6707317073171,12.0609756097561,29.9634146341463,42.0243902439024,8.41463414634146,6.28048780487805,14.1951219512195
"511","UTA","Jazz",2013,95.0121951219512,35.9878048780488,81.1219512195122,44.3625977149729,6.6219512195122,19.2317073170732,34.432466708941,16.4146341463415,21.9878048780488,74.6533555185801,20.2926829268293,11.0243902439024,30.2073170731707,41.2317073170732,6.95121951219512,4.46341463414634,13.9634146341463
"512","UTA","Jazz",2014,95.7333333333333,35.4555555555556,79.0333333333333,44.8615211584423,7.46666666666667,21.6444444444444,34.4969199178645,17.3555555555556,24.1444444444444,71.8821905200184,20.0444444444444,11.9444444444444,32.2666666666667,44.2111111111111,7.57777777777778,5.82222222222222,14.6444444444444
"513","UTA","Jazz",2015,97.685393258427,35.8876404494382,80.2921348314607,44.6963336132102,8.30337078651685,23.561797752809,35.240820219361,17.6067415730337,23.8314606741573,73.8802451673739,18.8202247191011,10.6516853932584,32.6629213483146,43.314606741573,7.91011235955056,5.1685393258427,14.2134831460674
"514","UTA","Jazz",2016,100.326530612245,36.6938775510204,79.0918367346939,46.3940136756548,9.43877551020408,25.6224489795918,36.8379131819992,17.5,23.5204081632653,74.4034707158351,19.9795918367347,9.07142857142857,33.7142857142857,42.7857142857143,6.91836734693878,4.8265306122449,12.9285714285714
