"","PLAYER_NAME","SEASON","TEAM_ID","Points","Passes_décisives","Rebonds_Offensifs","Rebonds_Défensifs","Rebonds","Interceptions","Contres","Balles_Perdues","LEAGUE_ID","MIN_YEAR","MAX_YEAR","ABBREVIATION","NICKNAME","YEARFOUNDED","CITY","ARENA","ARENACAPACITY","OWNER","GENERALMANAGER","HEADCOACH","DLEAGUEAFFILIATION"
"5434","Jeremy Senglin",2017,1610612751,6,1,0,1,1,0,0,0,0,1976,2019,"BKN","Nets",1976,"Brooklyn","Barclays Center",NA,"Joe Tsai","Sean Marks","Kenny Atkinson","Long Island Nets"
"5435","Jeremy Sochan",2022,1610612759,7.53333333333333,2.03333333333333,1.43333333333333,2.96666666666667,4.4,0.766666666666667,0.5,1.36666666666667,0,1976,2019,"SAS","Spurs",1976,"San Antonio","AT&T Center",18694,"Peter Holt","Brian Wright","Gregg Popovich","Austin Spurs"
"5436","Jeremy Tyler",2011,1610612744,4.88095238095238,0.380952380952381,1.28571428571429,2.04761904761905,3.33333333333333,0.380952380952381,0.476190476190476,0.857142857142857,0,1946,2019,"GSW","Warriors",1946,"Golden State","Chase Center",19596,"Joe Lacob","Bob Myers","Steve Kerr","Santa Cruz Warriors"
"5437","Jeremy Tyler",2012,1610612737,0,0,0,3,3,0,0,0,0,1949,2019,"ATL","Hawks",1949,"Atlanta","State Farm Arena",18729,"Tony Ressler","Travis Schlenk","Lloyd Pierce","Erie Bayhawks"
"5438","Jeremy Tyler",2012,1610612744,1.1,0.05,0.3,0.55,0.85,0.05,0.1,0.3,0,1946,2019,"GSW","Warriors",1946,"Golden State","Chase Center",19596,"Joe Lacob","Bob Myers","Steve Kerr","Santa Cruz Warriors"
"5439","Jeremy Tyler",2013,1610612752,3.5609756097561,0.195121951219512,0.926829268292683,1.73170731707317,2.65853658536585,0.146341463414634,0.48780487804878,0.634146341463415,0,1946,2019,"NYK","Knicks",1946,"New York","Madison Square Garden",19763,"Cablevision (James Dolan)","Steve Mills","David Fizdale","Westchester Knicks"
"5440","Jeremy Tyler",2014,1610612747,2.66666666666667,0.666666666666667,1.33333333333333,2,3.33333333333333,0.333333333333333,1,0.666666666666667,0,1948,2019,"LAL","Lakers",1948,"Los Angeles","Staples Center",19060,"Jerry Buss Family Trust","Rob Pelinka","Frank Vogel","South Bay Lakers"
"5441","Jeremy Tyler",2015,1610612745,4,0,0.5,3.5,4,0.5,0,1,0,1967,2019,"HOU","Rockets",1967,"Houston","Toyota Center",18104,"Tilman Fertitta","Daryl Morey","Mike D'Antoni","Rio Grande Valley Vipers"
"5442","Jerian Grant",2015,1610612752,5.65432098765432,2.40740740740741,0.296296296296296,1.65432098765432,1.95061728395062,0.62962962962963,0.135802469135802,1.18518518518519,0,1946,2019,"NYK","Knicks",1946,"New York","Madison Square Garden",19763,"Cablevision (James Dolan)","Steve Mills","David Fizdale","Westchester Knicks"
"5443","Jerian Grant",2016,1610612741,5.77333333333333,1.94666666666667,0.24,1.36,1.6,0.68,0.12,0.826666666666667,0,1966,2019,"CHI","Bulls",1966,"Chicago","United Center",21711,"Jerry Reinsdorf","Gar Forman","Jim Boylen","Windy City Bulls"
"5444","Jerian Grant",2017,1610612741,8.35,4.7375,0.4125,2.05,2.4625,0.85,0.1375,1.2625,0,1966,2019,"CHI","Bulls",1966,"Chicago","United Center",21711,"Jerry Reinsdorf","Gar Forman","Jim Boylen","Windy City Bulls"
"5445","Jerian Grant",2018,1610612753,4.35820895522388,2.47761194029851,0.283582089552239,1.38805970149254,1.67164179104478,0.701492537313433,0.0895522388059701,0.865671641791045,0,1989,2019,"ORL","Magic",1989,"Orlando","Amway Center",0,"Rick DeVos","John Hammond","Steve Clifford","Lakeland Magic"
"5446","Jerian Grant",2019,1610612764,4.11111111111111,1.44444444444444,0.444444444444444,0.777777777777778,1.22222222222222,0.333333333333333,0.111111111111111,0.555555555555556,0,1961,2019,"WAS","Wizards",1961,"Washington","Capital One Arena",20647,"Ted Leonsis","Tommy Sheppard","Scott Brooks","Capital City Go-Go"
"5447","Jerian Grant",2020,1610612745,5.33333333333333,3,0,1.33333333333333,1.33333333333333,0,0,0,0,1967,2019,"HOU","Rockets",1967,"Houston","Toyota Center",18104,"Tilman Fertitta","Daryl Morey","Mike D'Antoni","Rio Grande Valley Vipers"
