Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Royaume-Uni,GBR,"Population active, total",SL.TLF.TOTL.IN,29511805,29521902,29839231,30095093,30341589,30813208,31317980,31527354,31927772,32084960,32236187,32478068,32778349,33061439,33331376,33614102,33939706,34128763,34415434,34695933,34633314,34311332,34460390
Géorgie,GEO,"Population active, total",SL.TLF.TOTL.IN,2003965,2052705,2011314,2046867,2011427,1992449,1938834,1974742,1982038,2001608,2015786,2022484,2047551,2027705,2039516,2065655,2046196,1971577,1895181,1856196,1866753,1867509,1864158
Ghana,GHA,"Population active, total",SL.TLF.TOTL.IN,8469005,8727477,9000790,9271299,9537156,9799107,10059045,10319874,10577661,10827195,11061367,11285674,11512114,11743140,11979984,12224092,12541819,12868929,13192289,13516316,13734537,14140200,14530533
Gibraltar,GIB,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Guinée,GIN,"Population active, total",SL.TLF.TOTL.IN,2944411,2965192,3001647,3044383,3082810,3113788,3149846,3199079,3254659,3311120,3368027,3426953,3486597,3545237,3605101,3668093,3732312,3795285,3858186,3923389,4004061,4113877,4242742
Gambie,GMB,"Population active, total",SL.TLF.TOTL.IN,451850,466278,481236,496098,510946,526559,543168,560776,579227,598365,618021,638416,659823,685019,711111,737921,765643,794311,824123,850208,869941,907836,947408
Guinée-Bissau,GNB,"Population active, total",SL.TLF.TOTL.IN,388957,398513,408316,418278,428397,438550,449185,460399,472249,484764,498014,512256,527145,542604,558485,574824,591864,609440,627598,646165,659378,680465,705133
Guinée équatoriale,GNQ,"Population active, total",SL.TLF.TOTL.IN,223164,234637,247294,261130,276030,291795,307913,324417,341311,358504,375847,393162,410173,427253,444352,461249,478114,494535,511120,528292,527811,545179,566927
Grèce,GRC,"Population active, total",SL.TLF.TOTL.IN,4860889,4819343,4881094,4935423,5019191,5019255,5043207,5031298,5032007,5073731,5075825,4983604,4927758,4867433,4812543,4788983,4774947,4753621,4727112,4735273,4643796,4605900,4700676
Grenade,GRD,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Groenland,GRL,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Population active, total",SL.TLF.TOTL.IN,4118195,4234323,4358791,4484110,4617954,4720723,4825217,4931026,5037761,5145327,5253574,5486770,5980602,5682211,5883588,6022488,6184488,6364813,6472399,6481136,6403877,6642741,6884303
Guam,GUM,"Population active, total",SL.TLF.TOTL.IN,75788,73941,70851,70968,71107,70975,73394,68162,70977,73744,73809,75657,76039,76377,76670,76900,77068,77194,77282,77360,77087,78201,78896
Guyana,GUY,"Population active, total",SL.TLF.TOTL.IN,276466,275127,273949,274062,274765,275586,276658,277906,279037,279981,280727,281215,282787,285029,286708,288326,289827,291179,301413,284892,281272,286857,289264
Revenu élevé,HIC,"Population active, total",SL.TLF.TOTL.IN,538727099,541657653,545085487,549285878,553727381,560666379,568001387,574533457,581530746,584554610,587343494,589582320,594520949,598315888,602733849,606855527,613090873,618056525,623664531,629704537,624186649,626862310,635981203
"Chine, RAS de Hong Kong",HKG,"Population active, total",SL.TLF.TOTL.IN,3353910,3439630,3493929,3479071,3525372,3550951,3614884,3662908,3680131,3698404,3672023,3742584,3818310,3880979,3899441,3940825,3956680,3978306,4008835,3992610,3910149,3866026,3814661
Honduras,HND,"Population active, total",SL.TLF.TOTL.IN,2451680,2513802,2576593,2639855,2703743,2768649,2775987,2823834,2946258,3103859,3260247,3243536,3268694,3613486,3810624,3919626,3983810,4161688,4431793,4399023,4206572,4428040,4610868
Pays pauvres très endettés (PPTE),HPC,"Population active, total",SL.TLF.TOTL.IN,182791223,188070684,193936008,200050030,206257850,212605917,218790495,224467416,230391173,236613785,242836773,249244714,255418335,262712898,270340189,278287098,287368235,296336119,305913456,315530615,320790141,323461136,335437236
Croatie,HRV,"Population active, total",SL.TLF.TOTL.IN,1932906,1845629,1833312,1808041,1844858,1796375,1785298,1924507,1933843,1934048,1912849,1883510,1865281,1844972,1896011,1896675,1835203,1824724,1794304,1781597,1772376,1724587,1727065
Haïti,HTI,"Population active, total",SL.TLF.TOTL.IN,3129439,3217342,3308244,3402415,3498794,3597996,3707666,3817640,3928341,4039702,4132947,4215545,4302590,4396857,4492198,4583225,4673964,4764708,4852965,4930691,4969248,5059273,5160154
Hongrie,HUN,"Population active, total",SL.TLF.TOTL.IN,4187699,4152274,4157742,4227774,4203079,4272899,4323154,4306927,4275905,4265167,4298779,4310224,4358321,4393129,4508047,4587119,4651601,4688293,4720978,4748584,4724407,4920977,4946680
BIRD seulement,IBD,"Population active, total",SL.TLF.TOTL.IN,1831194172,1854826904,1877662241,1902099267,1928568057,1953961760,1980450399,2007946747,2028939032,2050583775,2068343900,2089281431,2107750779,2117943050,2129661371,2142449677,2152126545,2159047504,2166957363,2202541646,2146346218,2207701374,2150584654
BIRD et IDA,IBT,"Population active, total",SL.TLF.TOTL.IN,2233945853,2268644989,2302765849,2338571133,2376619400,2413245019,2450635694,2489060086,2520946278,2554299023,2584611633,2617787771,2646052952,2666624497,2690538502,2718784413,2742846113,2767033736,2791045274,2844569646,2797856253,2848752153,2812866566
IDA totale,IDA,"Population active, total",SL.TLF.TOTL.IN,402751681,413818085,425103608,436471866,448051343,459283259,470185295,481113339,492007246,503715248,516267733,528506340,538302173,548681447,560877131,576334736,590719568,607986233,624087911,642028000,651510035,641050779,662281912
IDA mélange,IDB,"Population active, total",SL.TLF.TOTL.IN,123884274,127856412,131492073,135098762,138820855,142081095,145434073,149254632,152992313,157370972,162039196,166094610,168034776,169664454,173363370,179146365,183238736,187597119,192241574,198385416,201412365,209477740,216066899
Indonésie,IDN,"Population active, total",SL.TLF.TOTL.IN,100650982,101677754,101821401,103208209,105014968,104711524,106146819,111277707,113275269,114480686,117183517,119580336,122341620,122963171,124478015,126141821,127339757,129760147,133327293,136201932,136106881,134381715,137260837
IDA seulement,IDX,"Population active, total",SL.TLF.TOTL.IN,278867407,285961673,293611535,301373104,309230488,317202164,324751222,331858707,339014933,346344276,354228537,362411729,370267397,379016993,387513761,397188371,407480832,420389113,431846337,443642584,450097671,431573039,446215013
Île de Man,IMN,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Inde,IND,"Population active, total",SL.TLF.TOTL.IN,393669897,399564197,405389781,411069163,416629768,421959547,431250073,440568412,449860965,459168942,468646281,472419461,476025371,476574166,476778623,476681505,476439285,475894660,474730667,501044031,496925540,507704858,523839158
Non classifié,INX,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Irlande,IRL,"Population active, total",SL.TLF.TOTL.IN,1862430,1898123,1941828,1984446,2033886,2151141,2241382,2336096,2355177,2303515,2252263,2231095,2225018,2247873,2258498,2285833,2330010,2354153,2397838,2446760,2432234,2551561,2680949
"Iran, République islamique d’",IRN,"Population active, total",SL.TLF.TOTL.IN,19362019,20310914,21067246,21807454,22728486,23637285,23912566,24076472,23395023,24401195,24374967,23747702,24358270,24633773,24780719,25883066,27040336,28100798,28610021,28702961,27169143,28071271,28819421
Iraq,IRQ,"Population active, total",SL.TLF.TOTL.IN,5864591,6063313,6271603,6477441,6679058,6897082,6967997,6932361,7077686,7347180,7588942,7854695,8207067,8827667,9385898,9709072,10025430,10020634,10390616,10698395,10663335,10683686,11183808
Islande,ISL,"Population active, total",SL.TLF.TOTL.IN,169444,171255,170967,173624,173541,175622,183451,189725,192115,188716,188369,187550,189063,192997,198891,203751,209633,213259,217130,220983,218866,222391,234499
Israël,ISR,"Population active, total",SL.TLF.TOTL.IN,2775397,2847056,2873038,2943707,3023076,3101315,3180735,3266238,3324067,3403706,3482638,3531041,3623923,3694723,3795478,3859942,3933469,3998508,4073299,4125006,4086174,4231553,4370789
Italie,ITA,"Population active, total",SL.TLF.TOTL.IN,23493362,23598179,23868583,24218787,24606509,24448131,24509227,24473855,24816663,24612153,24546580,24567360,25127011,25287655,25689865,25654398,25932536,26103399,26164164,25907430,25126337,25077277,25481769
Jamaïque,JAM,"Population active, total",SL.TLF.TOTL.IN,1160867,1167306,1177195,1187098,1202741,1215547,1227830,1240435,1253197,1228184,1213350,1239320,1256812,1299092,1331653,1409375,1408534,1436161,1443443,1487233,1453541,1516188,1572790
Jordanie,JOR,"Population active, total",SL.TLF.TOTL.IN,1188660,1200773,1220552,1222762,1276711,1334683,1414284,1600354,1637732,1710771,1734495,1768822,1759866,1842302,2038462,2321528,2533543,2698786,2707735,2791809,2922682,2973993,3041209
Japon,JPN,"Population active, total",SL.TLF.TOTL.IN,67817652,67626063,67075751,66836856,66578272,66666567,66782268,66892223,66726949,66456031,66231664,65813075,65518909,65768575,65973877,66061546,66669411,67225084,68386819,69045531,68953988,68858892,68931322
